V_fci V_hf C_fci C_hf b c E_dec E_bo K_en K_overlap
2.382239451923634510e-02 8.716950683071865436e-02 1.241348390089590595e-03 1.491504391412275471e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865269882563661996e+00 -1.865519997276521957e+00 1.800000000000000000e+01 5.000000000000000000e+00
2.382237604264064723e-02 8.716968810333655671e-02 1.241338186015845339e-03 1.491504427708572385e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865269955901485144e+00 -1.865519557006162676e+00 1.800000000000000000e+01 5.000000000000000000e+00
2.382228632092808773e-02 8.717080588067196989e-02 1.241212561679112944e-03 1.491504406682558773e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865270764987492225e+00 -1.865520717875683410e+00 1.800000000000000000e+01 5.000000000000000000e+00
2.382236042203861315e-02 8.716961436879389069e-02 1.241334760476172673e-03 1.491504382326512296e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865269939110058894e+00 -1.865519728143683054e+00 1.800000000000000000e+01 5.000000000000000000e+00
2.382216367168354942e-02 8.717190373567876294e-02 1.241109121583182547e-03 1.491504573378197186e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865271391727505224e+00 -1.865520218358795557e+00 1.800000000000000000e+01 5.000000000000000000e+00
2.566476843380749440e-02 1.666666666644178729e-01 2.099853706032147292e-03 4.226990457845227790e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.862588568869104844e+00 -1.862588568869105288e+00 2.000000000000000000e+01 7.000000000000000000e+00
2.566501722084246762e-02 1.666666666644882888e-01 2.099784440363807857e-03 4.226991196452470866e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.862588568869105288e+00 -1.862588568869105954e+00 2.000000000000000000e+01 7.000000000000000000e+00
4.558521722941299981e-02 1.666666666666624386e-01 2.252113315109568244e-03 6.411614401540297048e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.862588568869105510e+00 -1.862588568869107730e+00 2.200000000000000000e+01 6.000000000000000000e+00
2.382243852670196116e-02 8.716854997358206014e-02 1.241430011716630668e-03 1.491504689780540679e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865269336365698472e+00 -1.865519374920603379e+00 1.800000000000000000e+01 5.000000000000000000e+00
2.382209428257903161e-02 8.717184897139829136e-02 1.241040747377813612e-03 1.491506699656877221e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865271757437831468e+00 -1.865521380883132352e+00 1.800000000000000000e+01 5.000000000000000000e+00
2.382226444328949810e-02 8.717075934707560481e-02 1.241207098315041252e-03 1.491504650670191171e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865270777585316564e+00 -1.865520945760924754e+00 1.800000000000000000e+01 5.000000000000000000e+00
2.382223418867990272e-02 8.717112120892137050e-02 1.241178810850544377e-03 1.491504409465339506e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865270953414606359e+00 -1.865520480473051634e+00 1.800000000000000000e+01 5.000000000000000000e+00
2.382246089779738174e-02 8.717002531616857564e-02 1.241352292631441468e-03 1.491505591207932177e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865270011882181000e+00 -1.865520619411838776e+00 1.800000000000000000e+01 5.000000000000000000e+00
2.382232531227301831e-02 8.717033502403867540e-02 1.241270766761072000e-03 1.491504388067741620e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865270395813973581e+00 -1.865520081540993580e+00 1.800000000000000000e+01 5.000000000000000000e+00
4.464911955931402665e-02 6.266786509474250649e-05 3.417789608575476541e-03 7.308629769489069549e-04 9.999999999999998890e-01 -2.000000000000001332e+00 -1.862588568869105288e+00 -1.867148598251841651e+00 2.300000000000000000e+01 5.000000000000000000e+00
2.382226788725833044e-02 8.717090719629812245e-02 1.241213436788039673e-03 1.491504448009434939e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865270754747917925e+00 -1.865520054762093594e+00 1.800000000000000000e+01 5.000000000000000000e+00
1.666612089422883913e-01 1.659245375932402733e-01 1.449832882281595512e-03 9.087972750804095695e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865439594688694358e+00 -1.866214556468331232e+00 2.200000000000000000e+01 5.000000000000000000e+00
2.382267185285114053e-02 8.716592970854161737e-02 1.241721544975242335e-03 1.491504506361207788e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865267444324113288e+00 -1.865517749384770552e+00 1.800000000000000000e+01 5.000000000000000000e+00
4.464327347311033978e-02 6.423456261827576136e-05 3.411786702024908243e-03 7.308632413851197905e-04 9.999999999999998890e-01 -2.000000000000001332e+00 -1.862588568869102401e+00 -1.867148139164559462e+00 2.300000000000000000e+01 5.000000000000000000e+00
8.684224970541187805e-02 1.664744560927935157e-01 1.756269695484602607e-03 5.884351986959662772e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.862588568869103733e+00 -1.863166466673209731e+00 2.500000000000000000e+01 9.000000000000000000e+00
