V_fci V_hf C_fci C_hf b c E_dec E_bo K_en K_overlap
8.508461657970012304e-02 1.654636530914657122e-01 1.313748514039267748e-03 5.350697068638739402e-03 1.000042534357908020e+00 -1.981210259362017334e+00 -1.865953442741759449e+00 -1.866890137363802271e+00 2.500000000000000000e+01 9.000000000000000000e+00
2.374494768109602916e-02 8.959916365830403184e-02 1.117850813569964963e-03 1.541415617913329417e-03 9.999025832961386806e-01 -1.991729205364703548e+00 -1.866082058976846314e+00 -1.866486694773894728e+00 8.000000000000000000e+00 4.000000000000000000e+00
4.184493263025562682e-02 1.286714932882179058e-02 3.025997746701119878e-04 1.038698757508252747e-03 9.998137253331115248e-01 -1.998013421187800898e+00 -1.869731046733046131e+00 -1.869731046733045243e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.502441902681440400e-02 1.613154216982659039e-01 1.918711872639255371e-03 4.278439327262003287e-03 1.000050535584767752e+00 -1.889116082742527292e+00 -1.862588568869103733e+00 -1.863109383739424363e+00 2.000000000000000000e+01 7.000000000000000000e+00
2.374519636569882852e-02 8.960203523965004635e-02 1.117850810911374167e-03 1.541500465887835807e-03 9.998815223528030316e-01 -1.991728420916732079e+00 -1.866082095437495481e+00 -1.866487083535137703e+00 8.000000000000000000e+00 4.000000000000000000e+00
2.502399503572605433e-02 1.613134230939767266e-01 1.918711580227982008e-03 4.278131189849612714e-03 1.000000801299515185e+00 -1.889019451930197713e+00 -1.862588568869102179e+00 -1.863111246692863876e+00 2.000000000000000000e+01 7.000000000000000000e+00
2.502454969223366632e-02 1.613162454089273057e-01 1.918711612287095185e-03 4.278274673454608365e-03 1.000007874923002360e+00 -1.889096257135038037e+00 -1.862588568869104844e+00 -1.863111038910961081e+00 2.000000000000000000e+01 7.000000000000000000e+00
2.502421350611316875e-02 1.613146144457900388e-01 1.918711704602535199e-03 4.278096054798768283e-03 1.000043897575177310e+00 -1.889089756711728629e+00 -1.862588568869108396e+00 -1.863112050914344620e+00 2.000000000000000000e+01 7.000000000000000000e+00
2.502200866419235226e-02 1.613029847007640960e-01 1.918711916929635329e-03 4.278039514169828215e-03 9.999564236430368291e-01 -1.888718013666739637e+00 -1.862588568869107952e+00 -1.863110503663526707e+00 2.000000000000000000e+01 7.000000000000000000e+00
2.374503513045600478e-02 8.960081043043272020e-02 1.117850801730855843e-03 1.541470122509343895e-03 1.000011249200961405e+00 -1.991841362605486943e+00 -1.866082090502755975e+00 -1.866486716463871876e+00 8.000000000000000000e+00 4.000000000000000000e+00
8.634974736325240485e-02 1.656265550152524191e-01 1.739536965279849402e-03 5.856631959821705785e-03 1.000068657765025293e+00 -1.983877836413140860e+00 -1.862588568869107730e+00 -1.863153069108460791e+00 2.500000000000000000e+01 9.000000000000000000e+00
1.662233111564257459e-01 1.658845258647944632e-01 1.123665042617396845e-03 9.187068924741054188e-03 1.000033765154740184e+00 -1.992009193240356746e+00 -1.865943002984081556e+00 -1.867121645549771447e+00 2.600000000000000000e+01 6.000000000000000000e+00
2.374463580562574672e-02 8.959920073388349948e-02 1.117851063118981613e-03 1.541476608467485122e-03 1.000394237608242864e+00 -1.992155001925834723e+00 -1.866082081800365389e+00 -1.866487201333572710e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.982570481335037327e+00 9.999993151679132941e-01 5.618773977267841387e-04 3.212761681802593292e-03 -1.000247279614173923e+00 1.670710601088281255e-05 -1.862266246539751702e+00 -1.864217853192510432e+00 1.700000000000000000e+01 1.400000000000000000e+01
2.502275562915068363e-02 1.613067781608087392e-01 1.918711836921739621e-03 4.277770393615311535e-03 9.999720328515890877e-01 -1.888827100247203905e+00 -1.862588568869107064e+00 -1.863114068082341701e+00 2.000000000000000000e+01 7.000000000000000000e+00
2.374496186556895871e-02 8.960035096986905534e-02 1.117851052828814241e-03 1.541479640151874331e-03 9.999324865481494795e-01 -1.991743893150426548e+00 -1.866082066362650504e+00 -1.866487629467943332e+00 8.000000000000000000e+00 4.000000000000000000e+00
5.113407899577149252e-03 1.684510420413515286e-01 1.701666792661926447e-03 1.648553921837854399e-03 9.864947380829129919e-01 -1.398695427912342915e+00 -1.862588568869102623e+00 -1.862588568869101513e+00 1.800000000000000000e+01 6.000000000000000000e+00
2.502537142017857708e-02 1.613206474537325907e-01 1.918711747163986091e-03 4.278094160315499238e-03 9.999556677225691637e-01 -1.889156276272318635e+00 -1.862588568869161909e+00 -1.863113207334271104e+00 2.000000000000000000e+01 7.000000000000000000e+00
1.982570540032757123e+00 9.999991532298765362e-01 5.618776755256077969e-04 3.212813282280525470e-03 -9.997283164838743907e-01 -2.748641967762201991e-04 -1.862266279914522205e+00 -1.864206557530496022e+00 1.700000000000000000e+01 1.400000000000000000e+01
1.982570579972445790e+00 9.999992272442056462e-01 5.618781073662086189e-04 3.212800145834083122e-03 -9.997060487515210259e-01 2.608887934340573607e-04 -1.862266268672641445e+00 -1.864206551449538729e+00 1.700000000000000000e+01 1.400000000000000000e+01
