V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
2.429866480214182278e-02 1.589207774663879136e-01 2.078696546130567955e-03 4.075944269892788421e-03 1.000086409751360206e+00 -1.819755037040184265e+00 8.579491004204076177e-03 8.579491004203854132e-03 2.000000000000000000e+01 6.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
2.374772736694952258e-02 8.687605736720246941e-02 1.239063433746083638e-03 1.488671575473930883e-03 9.993858546957751221e-01 -1.989022771281669044e+00 5.895780558375030012e-03 5.645847665908476642e-03 1.800000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
4.460326457772663400e-02 6.517630865317540663e-05 3.405418844287331354e-03 7.305318717418619401e-04 1.001052295448480400e+00 -1.998549704141485917e+00 8.579491004199413240e-03 4.020081425357702187e-03 2.300000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
2.374774050229089273e-02 8.687174998001867543e-02 1.239413349037485085e-03 1.488671807926844788e-03 9.995587375287576792e-01 -1.989175354486528269e+00 5.898244341993708062e-03 5.649431029053797459e-03 1.800000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
5.726119125119666364e-03 2.453904132075223066e-01 1.917333949534204534e-03 1.509345336836235597e-03 1.000472469776498619e+00 -1.014282490675249226e+00 8.579491004200301418e-03 8.579491004200967552e-03 1.800000000000000000e+01 6.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00
5.727474462017934087e-03 2.454897189376621380e-01 1.917775333363951930e-03 1.509345479632727026e-03 1.000237304894844970e+00 -1.013855052838288584e+00 8.579491004202965954e-03 8.579491004204742310e-03 1.800000000000000000e+01 6.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00
4.461019812326465217e-02 6.314809744187647978e-05 3.413031831333031892e-03 7.305319601081055160e-04 1.000733566214556225e+00 -1.998188123083125989e+00 8.579491004203187998e-03 4.019609193458340002e-03 2.300000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
8.281805381690887646e-02 1.587197358263454372e-01 2.392286903453698550e-03 5.675751254712512080e-03 9.998903726418932880e-01 -1.821118752846690780e+00 8.579491004202965954e-03 7.956952101897618590e-03 2.500000000000000000e+01 9.000000000000000000e+00 8.000000000000000000e+00 7.000000000000000000e+00
2.374719448506923403e-02 8.687777220581817395e-02 1.238793323709586449e-03 1.488671799523698120e-03 9.998130065646326781e-01 -1.989407103165846236e+00 5.894011960476452927e-03 5.645132089080462379e-03 1.800000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
5.727214933658686391e-03 2.454771058880239609e-01 1.917704545469209841e-03 1.509344753188545741e-03 9.998780424113484777e-01 -1.013712119151041868e+00 8.579491004203410043e-03 8.579491004204076177e-03 1.800000000000000000e+01 6.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00
8.090554070873512416e-02 1.572479907312440695e-01 2.122918095297712977e-03 5.104425254085533104e-03 9.998198479539582850e-01 -1.765281240911183103e+00 8.579491004203632087e-03 3.124790212078787377e-03 2.200000000000000000e+01 9.000000000000000000e+00 9.000000000000000000e+00 9.000000000000000000e+00
