V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
8.508461657970106673e-02 1.654636530914657122e-01 1.313748514039296588e-03 5.350697068638739402e-03 1.000042534357908020e+00 -1.981210259362017334e+00 5.214617131545695727e-03 4.277922509502873893e-03 2.500000000000000000e+01 9.000000000000000000e+00 6.000000000000000000e+00 6.000000000000000000e+00
2.374494768106222287e-02 8.959916365830403184e-02 1.117850813569959759e-03 1.541415617913329417e-03 9.999025832961386806e-01 -1.991729205364703548e+00 5.086000896461273513e-03 4.681365099412859720e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
4.184493263018739667e-02 1.286714932882179058e-02 3.025997746700972426e-04 1.038698757508252747e-03 9.998137253331115248e-01 -1.998013421187800898e+00 1.437013140261900190e-03 1.437013140262788369e-03 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.502441902684726660e-02 1.613154216982659039e-01 1.918711872639244313e-03 4.278439327262003287e-03 1.000050535584767752e+00 -1.889116082742527292e+00 8.579491004202299820e-03 8.058676133881670367e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
2.374519636566507774e-02 8.960203523965007411e-02 1.117850810911367662e-03 1.541500465887836241e-03 9.998815223528030316e-01 -1.991728420916732079e+00 5.085964435815659712e-03 4.680976338173437057e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
2.502399503575902795e-02 1.613134230939767266e-01 1.918711580227983743e-03 4.278131189849612714e-03 1.000000801299515185e+00 -1.889019451930197713e+00 8.579491004202743909e-03 8.056813180441046995e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
2.502454969226686199e-02 1.613162454089273612e-01 1.918711612287092583e-03 4.278274673454603161e-03 1.000007874923002360e+00 -1.889096257135038037e+00 8.579491004202077775e-03 8.057020962345839976e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
2.502421350614625339e-02 1.613146144457900388e-01 1.918711704602530646e-03 4.278096054798767416e-03 1.000043897575177310e+00 -1.889089756711728629e+00 8.579491004199413240e-03 8.056008958963190025e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
2.502200866422510384e-02 1.613029847007640682e-01 1.918711916929629257e-03 4.278039514169828215e-03 9.999564236430368291e-01 -1.888718013666739637e+00 8.579491004199857329e-03 8.057556209781102652e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
2.374503513042219849e-02 8.960081043043272020e-02 1.117850801730851506e-03 1.541470122509344329e-03 1.000011249200961405e+00 -1.991841362605486943e+00 5.085969370557830160e-03 4.681343409441929282e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
8.634974736325273792e-02 1.656265550152524191e-01 1.739536965279863496e-03 5.856631959821706652e-03 1.000068657765025293e+00 -1.983877836413140860e+00 8.579491004203410043e-03 8.014990764850349336e-03 2.500000000000000000e+01 9.000000000000000000e+00 8.000000000000000000e+00 7.000000000000000000e+00
1.662233111564262178e-01 1.658845258647944632e-01 1.123665042617445634e-03 9.187068924741054188e-03 1.000033765154740184e+00 -1.992009193240356746e+00 5.225056889223811396e-03 4.046414323533920054e-03 2.600000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
2.374463580559199594e-02 8.959920073388349948e-02 1.117851063118970771e-03 1.541476608467485555e-03 1.000394237608242864e+00 -1.992155001925834723e+00 5.085978072940644523e-03 4.680858539733323553e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
1.982570481335035550e+00 9.999993151679132941e-01 5.618773977264443498e-04 3.212761681802595894e-03 -1.000247279614173923e+00 1.670710601088281255e-05 8.901813333550778751e-03 6.950206680792048175e-03 1.700000000000000000e+01 1.400000000000000000e+01 1.200000000000000000e+01 1.200000000000000000e+01
2.502275562918365726e-02 1.613067781608087947e-01 1.918711836921727261e-03 4.277770393615320209e-03 9.999720328515890877e-01 -1.888827100247203905e+00 8.579491004204076177e-03 8.053991790969439180e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
2.374496186553526345e-02 8.960035096986905534e-02 1.117851052828812723e-03 1.541479640151871729e-03 9.999324865481494795e-01 -1.991743893150426548e+00 5.085993510657971228e-03 4.680430405365143542e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
5.113407899578037430e-03 1.684510420413515286e-01 1.701666792661923628e-03 1.648553921837853748e-03 9.864947380829129919e-01 -1.398695427912342915e+00 8.579491004204298221e-03 8.579491004205408444e-03 1.800000000000000000e+01 6.000000000000000000e+00 7.000000000000000000e+00 6.000000000000000000e+00
2.502537142021166172e-02 1.613206474537325907e-01 1.918711747163980019e-03 4.278094160315498370e-03 9.999556677225691637e-01 -1.889156276272318635e+00 8.579491004199191195e-03 8.054852539089996100e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
1.982570540032755124e+00 9.999991532298765362e-01 5.618776755252768984e-04 3.212813282280528072e-03 -9.997283164838743907e-01 -2.748641967762201991e-04 8.901779958785827063e-03 6.961502342812009303e-03 1.700000000000000000e+01 1.400000000000000000e+01 1.200000000000000000e+01 1.200000000000000000e+01
1.982570579972444014e+00 9.999992272442056462e-01 5.618781073658772867e-04 3.212800145834080520e-03 -9.997060487515210259e-01 2.608887934340573607e-04 8.901791200664366244e-03 6.961508423767082121e-03 1.700000000000000000e+01 1.400000000000000000e+01 1.200000000000000000e+01 1.200000000000000000e+01
