V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
2.382239451924250684e-02 8.716950683071868211e-02 1.241348390089586909e-03 1.491504391412275688e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.898177309648477973e-03 5.648062596788516743e-03 1.800000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
2.382237604264669795e-02 8.716968810333655671e-02 1.241338186015853145e-03 1.491504427708572385e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.898103971823109859e-03 5.648502867145577255e-03 1.800000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
2.382228632093441600e-02 8.717080588067194213e-02 1.241212561679122701e-03 1.491504406682559424e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.897294885808479492e-03 5.647341997617294496e-03 1.800000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
2.382236042204466386e-02 8.716961436879389069e-02 1.241334760476182214e-03 1.491504382326516200e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.898120763254688370e-03 5.648331729630529097e-03 1.800000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
2.382216367168965565e-02 8.717190373567876294e-02 1.241109121583191003e-03 1.491504573378194583e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.896668145805916694e-03 5.647841514515583583e-03 1.800000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
2.566476843380194328e-02 1.666666666644178729e-01 2.099853706032119970e-03 4.226990457845227790e-03 9.999999999999998890e-01 -2.000000000000001332e+00 8.579491004203854132e-03 8.579491004203410043e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
2.566501722083680548e-02 1.666666666644882888e-01 2.099784440363788775e-03 4.226991196452471733e-03 9.999999999999998890e-01 -2.000000000000001332e+00 8.579491004202077775e-03 8.579491004201411641e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
4.558521722940145349e-02 1.666666666666624108e-01 2.252113315109512300e-03 6.411614401540297915e-03 9.999999999999998890e-01 -2.000000000000001332e+00 8.579491004200301418e-03 8.579491004198080972e-03 2.200000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
2.382243852670795636e-02 8.716854997358206014e-02 1.241430011716630885e-03 1.491504689780540679e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.898723507611336458e-03 5.648684952706428675e-03 1.800000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
2.382209428258519335e-02 8.717184897139829136e-02 1.241040747377812744e-03 1.491506699656876354e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.896302435480782478e-03 5.646678990179898605e-03 1.800000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
2.382226444329560433e-02 8.717075934707560481e-02 1.241207098315036698e-03 1.491504650670193340e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.897282287991245653e-03 5.647114112383055939e-03 1.800000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
2.382223418868600895e-02 8.717112120892138438e-02 1.241178810850535269e-03 1.491504409465339723e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.897106458701451004e-03 5.647579400256175219e-03 1.800000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
2.382246089780365450e-02 8.717002531616857564e-02 1.241352292631448841e-03 1.491505591207936080e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.898047991124588663e-03 5.647440461466812778e-03 1.800000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
2.382232531227918004e-02 8.717033502403867540e-02 1.241270766761077638e-03 1.491504388067740319e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.897664059397955683e-03 5.647978332377956434e-03 1.800000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
4.464911955932545501e-02 6.266786509474250649e-05 3.417789608575603610e-03 7.308629769489069549e-04 9.999999999999998890e-01 -2.000000000000001332e+00 8.579491004197858928e-03 4.019461621461495326e-03 2.300000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
2.382226788726471423e-02 8.717090719629812245e-02 1.241213436788049865e-03 1.491504448009435373e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.897305125392771075e-03 5.648005111217102581e-03 1.800000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
1.666612089422883358e-01 1.659245375932402733e-01 1.449832882281547374e-03 9.087972750804095695e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.728465184672515420e-03 4.953503405035641904e-03 2.200000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
2.382267185285730227e-02 8.716592970854161737e-02 1.241721544975248406e-03 1.491504506361207788e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.900615549209398125e-03 5.650310488552134913e-03 1.800000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
4.464327347312176814e-02 6.423456261827576136e-05 3.411786702025037914e-03 7.308632413851195737e-04 9.999999999999998890e-01 -2.000000000000001332e+00 8.579491004202299820e-03 4.019920708745239324e-03 2.300000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
8.684224970541210009e-02 1.664744560927935157e-01 1.756269695484601306e-03 5.884351986959648895e-03 9.999999999999998890e-01 -2.000000000000001332e+00 8.579491004202743909e-03 8.001593200096746017e-03 2.500000000000000000e+01 9.000000000000000000e+00 8.000000000000000000e+00 7.000000000000000000e+00
