V_fci V_hf C_fci C_hf b c
2.429866480213949131e-02 1.589207774663879136e-01 2.078696546130717141e-03 4.075944269892789289e-03 1.000086409751360206e+00 -1.819755037040184265e+00
2.374772736695135444e-02 8.687605736720246941e-02 1.239063433746082120e-03 1.488671575473931316e-03 9.993858546957751221e-01 -1.989022771281669044e+00
4.460326457773059611e-02 6.517630865317540663e-05 3.405418844286957521e-03 7.305318717418620485e-04 1.001052295448480400e+00 -1.998549704141485917e+00
2.374774050229283562e-02 8.687174998001867543e-02 1.239413349037474027e-03 1.488671807926844788e-03 9.995587375287576792e-01 -1.989175354486528269e+00
5.726119125119222275e-03 2.453904132075223066e-01 1.917333949534210389e-03 1.509345336836237983e-03 1.000472469776498619e+00 -1.014282490675249226e+00
5.727474462017267953e-03 2.454897189376621380e-01 1.917775333363957785e-03 1.509345479632727026e-03 1.000237304894844970e+00 -1.013855052838288584e+00
4.461019812326862816e-02 6.314809744187635781e-05 3.413031831332655024e-03 7.305319601081055160e-04 1.000733566214556225e+00 -1.998188123083125989e+00
8.281805381690865442e-02 1.587197358263454372e-01 2.392286903453561507e-03 5.675751254712512080e-03 9.998903726418932880e-01 -1.821118752846690780e+00
2.374719448507101038e-02 8.687777220581817395e-02 1.238793323709586882e-03 1.488671799523697470e-03 9.998130065646326781e-01 -1.989407103165846236e+00
5.727214933657576168e-03 2.454771058880239609e-01 1.917704545469219816e-03 1.509344753188547258e-03 9.998780424113484777e-01 -1.013712119151041868e+00
8.090554070873479109e-02 1.572479907312440695e-01 2.122918095297622772e-03 5.104425254085531369e-03 9.998198479539582850e-01 -1.765281240911183103e+00
2.374791972581047350e-02 8.686987459302561443e-02 1.239627898685781264e-03 1.488671867341394891e-03 1.000119529147357689e+00 -1.989736027119247463e+00
2.374802770001466223e-02 8.687257166417652887e-02 1.239418790598295107e-03 1.488671733819637655e-03 9.990482294389462226e-01 -1.988695034345155932e+00
5.731474874252295848e-03 2.454660024813185570e-01 1.917686398985681342e-03 1.509348618451923770e-03 9.963414555414363827e-01 -1.011958937723117291e+00
2.374765836407677355e-02 8.687571283205146322e-02 1.239056253957556038e-03 1.488671392508209099e-03 1.000218918871623508e+00 -1.989855630815357213e+00
1.592891602966182429e-01 1.584594087062494716e-01 2.388481179799516012e-03 8.791069716585447544e-03 1.000059867263865865e+00 -1.832678517031240517e+00
5.727676847083973399e-03 2.455205350650265794e-01 1.917871124936532503e-03 1.509344723282242179e-03 1.000001609213705400e+00 -1.013640210279346254e+00
2.429816171002940894e-02 1.589185064506571377e-01 2.078858842620072075e-03 4.075944067336070495e-03 1.000026769436330065e+00 -1.819620974480797626e+00
5.728951675830096235e-03 2.456027062182786214e-01 1.918206311669171799e-03 1.509346123521053580e-03 9.993256124832555765e-01 -1.013043209445958936e+00
8.281892562311815587e-02 1.587212087284357032e-01 2.391894114457517560e-03 5.675751157258566992e-03 1.000027656844419299e+00 -1.821296217683961105e+00
