V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
8.561156721899637612e-02 1.664872289734392607e-01 1.318631661761250629e-03 5.386066119450879860e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.214549689272152122e-03 4.278134372678987773e-03 2.500000000000000000e+01 9.000000000000000000e+00 6.000000000000000000e+00 6.000000000000000000e+00
2.380487814311371686e-02 8.984051005840903992e-02 1.119541785186066278e-03 1.544305571605351750e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.086060498387334761e-03 4.680989029016702219e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
5.755829025845260460e-03 1.666666666655938212e-01 1.939148925436887626e-03 2.055153099349350896e-03 9.999999999999998890e-01 -2.000000000000001332e+00 8.579491004199635285e-03 8.579491004197192794e-03 1.800000000000000000e+01 5.000000000000000000e+00 4.000000000000000000e+00 4.000000000000000000e+00
8.681022803823856826e-02 1.665103761244796643e-01 1.745082118287717959e-03 5.890553843555637430e-03 9.999999999999998890e-01 -2.000000000000001332e+00 8.579491004200967552e-03 7.998495735218824620e-03 2.500000000000000000e+01 9.000000000000000000e+00 8.000000000000000000e+00 7.000000000000000000e+00
2.593589370487903167e-02 1.666666666658380702e-01 1.957499635423859928e-03 4.409962986929974287e-03 9.999999999999998890e-01 -2.000000000000001332e+00 8.579491004198080972e-03 8.043851875174645727e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
2.593584165283657761e-02 1.666666666658261631e-01 1.957499539933340357e-03 4.410097594733545373e-03 9.999999999999998890e-01 -2.000000000000001332e+00 8.579491004202965954e-03 8.045371600550854652e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
2.593584158895190228e-02 1.666666666658276341e-01 1.957499541390871935e-03 4.410069013759516932e-03 9.999999999999998890e-01 -2.000000000000001332e+00 8.579491004207184801e-03 8.045096516285044075e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
2.380496717975993937e-02 8.984277165020843059e-02 1.119541424041093627e-03 1.544389557221235911e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.086009154076087668e-03 4.680944803616915451e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
2.380496943873783300e-02 8.984286589309634086e-02 1.119541423009624663e-03 1.544393634061818916e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.086007413784399134e-03 4.680955364733785373e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
4.186950570937907068e-02 1.287308795668648878e-02 3.027589844037270215e-04 1.039231288124565491e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.436971697070799081e-03 1.436971697071687259e-03 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.681014565107531000e-02 1.665104723233024886e-01 1.745082313498311742e-03 5.890589707669575611e-03 9.999999999999998890e-01 -2.000000000000001332e+00 8.579491004200523463e-03 7.998645169936979826e-03 2.500000000000000000e+01 9.000000000000000000e+00 8.000000000000000000e+00 7.000000000000000000e+00
2.380495572425578299e-02 8.984251319313926731e-02 1.119541429558471198e-03 1.544380506298226796e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.086012932081329652e-03 4.680962306841340848e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
2.380495796040621448e-02 8.984261933434757597e-02 1.119541437911121366e-03 1.544385825768542636e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.086012703536813007e-03 4.680963421511696865e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
2.380496156679967612e-02 8.984270288086271261e-02 1.119541422676116702e-03 1.544387295363984069e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.086009647556455349e-03 4.680986577312307162e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
2.593583580383440612e-02 1.666666666658223883e-01 1.957499553402223483e-03 4.410012266101086091e-03 9.999999999999998890e-01 -2.000000000000001332e+00 8.579491004208295024e-03 8.044675735176864961e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
2.380498667655261968e-02 8.984311631342351001e-02 1.119541431800740935e-03 1.544402446111311361e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.086007011837034852e-03 4.680837556935157906e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
2.380496907765444758e-02 8.984281627893593580e-02 1.119541451759636583e-03 1.544389956891689328e-03 9.999999999999998890e-01 -2.000000000000001332e+00 5.086006812685450740e-03 4.680973950628164459e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
2.593584567416229447e-02 1.666666666658418172e-01 1.957499634514706099e-03 4.410138173042300186e-03 9.999999999999998890e-01 -2.000000000000001332e+00 8.579491004203410043e-03 8.045120478927136887e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
2.593579648823596262e-02 1.666666666658511708e-01 1.957499713123732506e-03 4.410155835327129320e-03 9.999999999999998890e-01 -2.000000000000001332e+00 8.579491004203854132e-03 8.046458240010823104e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
8.681031065374372746e-02 1.665102791893129930e-01 1.745082213145795515e-03 5.890519157518294725e-03 9.999999999999998890e-01 -2.000000000000001332e+00 8.579491004200745508e-03 7.998470710140592743e-03 2.500000000000000000e+01 9.000000000000000000e+00 8.000000000000000000e+00 7.000000000000000000e+00
