V_fci V_hf C_fci C_hf b c
1.009316589516518620e-02 7.081293197746792254e-05 1.013700033024362429e-02 3.953664423691886226e-03 9.998713422182832211e-01 -1.975650010816451640e+00
1.009311921945247291e-02 7.077919608384768027e-05 1.013712803944700688e-02 3.953664397219210612e-03 1.000096719953212254e+00 -1.975875980296017076e+00
1.009352488754574131e-02 7.107584827356351305e-05 1.013655149574860248e-02 3.953664829115180121e-03 1.000004728424177536e+00 -1.975753304790150988e+00
1.009318889671322571e-02 7.082991153583298926e-05 1.013703708699574199e-02 3.953664415917572915e-03 9.999667876518613108e-01 -1.975742478136574665e+00
1.009304544668836526e-02 7.074443338443193747e-05 1.013709689027850885e-02 3.953664665070817825e-03 9.998439688451564722e-01 -1.975606997500740869e+00
1.009299681203050178e-02 7.070900973027853032e-05 1.013722223064569133e-02 3.953664464340912905e-03 9.999406525246895550e-01 -1.975706400566826781e+00
1.009313888155861580e-02 7.078994475766934333e-05 1.013716923911601141e-02 3.953664399991676029e-03 9.999940803452795901e-01 -1.975777885642993947e+00
1.009386234750020254e-02 7.132958544900272046e-05 1.013552154527003896e-02 3.953670642505369495e-03 9.988885030310741264e-01 -1.974612103090881865e+00
1.009309483599299916e-02 7.077311184140754920e-05 1.013712807906273598e-02 3.953664423552718903e-03 9.998911427290565479e-01 -1.975659616982448741e+00
1.009320622401671357e-02 7.082198028194886799e-05 1.013722261392599119e-02 3.953664545184455703e-03 1.000150046957444694e+00 -1.975949132217792004e+00
1.009315377110259378e-02 7.080487343730476374e-05 1.013706989971726972e-02 3.953664544271682374e-03 9.997699723009805250e-01 -1.975549843261350524e+00
1.009325829693650742e-02 7.085558627828935589e-05 1.013702960948396729e-02 3.953664665006371981e-03 1.000215580246554659e+00 -1.976015179172172731e+00
1.009308837118116225e-02 7.077950455134854454e-05 1.013698508490455154e-02 3.953664560293571051e-03 1.000368927713392919e+00 -1.976117257464863775e+00
1.009321544684190636e-02 7.082361189870371287e-05 1.013733743402125097e-02 3.953664898987521541e-03 1.000110175799409751e+00 -1.975915903064810131e+00
1.009312098285243542e-02 7.078586687003535650e-05 1.013708910290023191e-02 3.953664395595655155e-03 1.000019036073421796e+00 -1.975792105740704852e+00
1.009281648214083865e-02 7.059062365260331483e-05 1.013757439875223251e-02 3.953665243579729607e-03 9.999636848120551091e-01 -1.975726522987948153e+00
1.009280880906622720e-02 7.053598406774126326e-05 1.013754821206300574e-02 3.953665037971330377e-03 1.000138132663732193e+00 -1.975962196197055043e+00
1.009303719659606323e-02 7.072355413166527037e-05 1.013728755076318856e-02 3.953664424076901163e-03 9.999832363660933199e-01 -1.975764870137460605e+00
1.009374724012008021e-02 7.119821012094195898e-05 1.013619537072173692e-02 3.953665149345062663e-03 9.999858614879408858e-01 -1.975769077438551014e+00
1.009330946549900215e-02 7.089402536096840062e-05 1.013699116465003811e-02 3.953664573748183475e-03 9.999615063354962974e-01 -1.975758959397174719e+00
