V_fci V_hf C_fci C_hf b c
1.138164606566290440e-02 1.189232424836502051e-03 9.547481107114183865e-03 4.517938766876465097e-03 1.000031117500293387e+00 -1.917443725949731226e+00
1.138152406270910404e-02 1.189125266101689806e-03 9.547481104603719806e-03 4.517819465269202681e-03 1.000124226736130106e+00 -1.917537769026133709e+00
1.138124514746901086e-02 1.188830000941782771e-03 9.547481127023617342e-03 4.517755251465885476e-03 9.999687662599076043e-01 -1.917371982773294459e+00
1.138152726112309603e-02 1.189042597887269605e-03 9.547481169969958270e-03 4.517919319275186599e-03 9.999539101553562848e-01 -1.917325744483171945e+00
1.138172279981955123e-02 1.189256700732632156e-03 9.547481101338458481e-03 4.518043784963314199e-03 9.998799136324021397e-01 -1.917271146416491101e+00
1.138174463163253713e-02 1.189322044652207314e-03 9.547481055679915563e-03 4.517977153263444748e-03 1.000029070844955736e+00 -1.917439297764242712e+00
1.138167580166495052e-02 1.189226394146142198e-03 9.547481435178820086e-03 4.517977141002871982e-03 9.998487237144791928e-01 -1.917249306582703205e+00
1.138137411934873541e-02 1.188935269577205082e-03 9.547481142569386875e-03 4.517806557307295010e-03 9.998253098574624298e-01 -1.917224343946740017e+00
1.138155636211896776e-02 1.189093402127379580e-03 9.547481157002364258e-03 4.517962287639870622e-03 1.000184548518814553e+00 -1.917560380705076728e+00
1.138160617028821653e-02 1.189213104236787766e-03 9.547481090903340434e-03 4.517888099051260535e-03 9.999941853471965292e-01 -1.917418865960043961e+00
1.138124511411896765e-02 1.188830174742680056e-03 9.547481294858359974e-03 4.517786016474884155e-03 1.000144526286495417e+00 -1.917540842181903349e+00
1.138161427269763007e-02 1.189205701250164310e-03 9.547481053442097992e-03 4.517901540671309321e-03 1.000004109754675463e+00 -1.917419728914367294e+00
1.138180837634969120e-02 1.189335078531233297e-03 9.547481091822868776e-03 4.518082966075248966e-03 1.000060900840611833e+00 -1.917442870487035433e+00
1.138165565364275544e-02 1.189233373675245738e-03 9.547481066330243404e-03 4.517928278978786301e-03 1.000043855325296827e+00 -1.917451131699405176e+00
1.138144392288095025e-02 1.188982138062986277e-03 9.547481176343264667e-03 4.517927211767637855e-03 1.000144085027059315e+00 -1.917519244011381296e+00
1.138196352366573072e-02 1.189556234452900270e-03 9.547481210732353465e-03 4.518060821819286192e-03 1.000026797299184089e+00 -1.917451903456158124e+00
1.137961446854374864e-02 1.187303197267638218e-03 9.547482535946401339e-03 4.516756852568611438e-03 9.997833269889859764e-01 -1.917207283870323575e+00
1.138145969069542449e-02 1.189038566261872796e-03 9.547481058161806991e-03 4.517874760779390722e-03 1.000011475803040728e+00 -1.917415564189544286e+00
1.138158552060063514e-02 1.189166931774660648e-03 9.547481112149008853e-03 4.517919641873610268e-03 9.999179161033945329e-01 -1.917330744390092656e+00
1.138159317207100216e-02 1.189145553871200165e-03 9.547481129941439576e-03 4.517967480662418191e-03 9.999756295457902233e-01 -1.917369840403974957e+00
