V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
2.909953798152886684e-02 2.484292353499775174e-01 9.547315658134738342e-03 7.644502536875498119e-03 1.000160812175348912e+00 -1.004710708211756121e+00 4.629839838336669011e-02 4.629839838336691216e-02 3.000000000000000000e+01 1.300000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00
3.388421848283573734e-02 8.529115988133369186e-02 6.082882000869705742e-03 5.776970936271205725e-03 9.998554375671537819e-01 -1.954620644859738743e+00 3.066875258782131297e-02 2.955650419329347578e-02 2.600000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
4.206815335557652358e-02 3.003619588943574913e-04 5.315113503466015188e-03 1.226054429303689679e-03 9.997802546235559085e-01 -1.994606408127243435e+00 1.843940555322332031e-02 1.843940555322287622e-02 2.900000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
3.388428937821913456e-02 8.528892277183869330e-02 6.083112525502872882e-03 5.776971337954120954e-03 9.999147511913574204e-01 -1.954652948168992044e+00 3.067019021987693606e-02 2.955617346584160643e-02 2.600000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
2.909817503259404248e-02 2.484059899421652284e-01 9.546904136133540358e-03 7.644502348689092425e-03 9.998602489275252303e-01 -1.004630211868329903e+00 4.629839838336580193e-02 4.629839838336735625e-02 3.000000000000000000e+01 1.300000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00
2.910052551009645327e-02 2.484447722538389858e-01 9.547450264022495567e-03 7.644502756649145317e-03 1.000085220463063251e+00 -1.004625780362784493e+00 4.629839838336535784e-02 4.629839838336424762e-02 3.000000000000000000e+01 1.300000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00
4.207398246798483427e-02 2.961311409294947869e-04 5.323512961433116142e-03 1.226055522124917720e-03 1.000068394400705385e+00 -1.994878258853040709e+00 1.846606087067370616e-02 1.846606087067281798e-02 2.900000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
9.432441790425505346e-02 1.558202015608663449e-01 1.161003512281537711e-02 1.657241290752883150e-02 1.000021645545671189e+00 -1.629316674692188105e+00 4.629839838337068691e-02 3.616845865329731957e-02 3.200000000000000000e+01 1.500000000000000000e+01 1.700000000000000000e+01 1.500000000000000000e+01
3.388439306603119316e-02 8.529148487619270247e-02 6.083061484568222203e-03 5.776971052435678732e-03 1.000007099102727670e+00 -1.954804902548616274e+00 3.067009439124435133e-02 2.955776852009450728e-02 2.600000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
2.909489133268028382e-02 2.483528865498907390e-01 9.546035514348088016e-03 7.644502528920566267e-03 1.000115106287267075e+00 -1.004919318526483751e+00 4.629839838336624602e-02 4.629839838336669011e-02 3.000000000000000000e+01 1.300000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00
8.796551258180951294e-02 1.540116277599610228e-01 8.769566388264198042e-03 1.299516441733811721e-02 9.998378352600866270e-01 -1.590072979506874651e+00 4.629839838336224922e-02 1.653043949604149354e-02 2.900000000000000000e+01 1.200000000000000000e+01 1.400000000000000000e+01 1.200000000000000000e+01
3.388402045115201933e-02 8.529515186447364505e-02 6.082089483934764382e-03 5.776971097370780378e-03 9.997750362040059846e-01 -1.954575191193772765e+00 3.066362348054263443e-02 2.955339480515650763e-02 2.600000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
3.388432881593128609e-02 8.529322027752525570e-02 6.082784253502547880e-03 5.776971281721022047e-03 1.000038106203004373e+00 -1.954859213604196677e+00 3.066831991819096714e-02 2.955655490281094977e-02 2.600000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
4.206789120813497068e-02 2.997618277301252777e-04 5.316122998720387155e-03 1.226055089549743906e-03 1.000194988260892037e+00 -1.994929908959629072e+00 1.844310022973205676e-02 1.844310022973094654e-02 2.900000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
3.388418373143797790e-02 8.529268094743466810e-02 6.082577538388650104e-03 5.776970974075821066e-03 1.000120776874511064e+00 -1.954889860051438610e+00 3.066668527479587958e-02 2.955519956238727985e-02 2.600000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
1.564458368331543281e-01 1.482183035508438662e-01 1.177311556575682226e-02 1.931717994852374595e-02 1.000051882255021951e+00 -1.744450504769738064e+00 4.629839838336380353e-02 1.278671210267035008e-02 2.900000000000000000e+01 8.000000000000000000e+00 1.700000000000000000e+01 8.000000000000000000e+00
2.909602804073863069e-02 2.483736369804281363e-01 9.546192966439664626e-03 7.644503117831735230e-03 1.000023660739390197e+00 -1.004810780604257658e+00 4.629839838336868851e-02 4.629839838336735625e-02 3.000000000000000000e+01 1.300000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00
8.796545797513077858e-02 1.540107773437598970e-01 8.770443655557375040e-03 1.299516421890739744e-02 9.999750355336494145e-01 -1.590140348718757091e+00 4.629839838336535784e-02 1.653046383200362790e-02 2.900000000000000000e+01 1.200000000000000000e+01 1.400000000000000000e+01 1.200000000000000000e+01
2.892828515589895844e-02 2.474651201252507926e-01 9.520616988774531844e-03 7.675947271959236186e-03 9.997573251715289322e-01 -1.007550531931291182e+00 4.629839838336824442e-02 4.629839838336891056e-02 3.000000000000000000e+01 1.300000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00
2.909797784273759902e-02 2.484042416771594652e-01 9.547107290021998593e-03 7.644502569932236022e-03 1.000032338124140052e+00 -1.004721660383292914e+00 4.629839838336224922e-02 4.629839838336335944e-02 3.000000000000000000e+01 1.300000000000000000e+01 5.000000000000000000e+00 6.000000000000000000e+00
