V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
3.427971237815652383e-02 8.652745139098121097e-02 6.147442048491108188e-03 5.823485114645384972e-03 9.999999999999998890e-01 -2.000000000000001332e+00 3.069801924343540378e-02 2.957659566741499546e-02 2.600000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
4.213770477342452386e-02 3.003429546250181324e-04 5.325081907708104599e-03 1.227218566798422622e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.844279972562468117e-02 1.844279972562490322e-02 2.900000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
4.213878528104879340e-02 2.995660545921039744e-04 5.326649704795500748e-03 1.227218562582249204e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.844770075703472401e-02 1.844770075703450196e-02 2.900000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
4.213866660211802034e-02 2.996707182575586090e-04 5.326410855902840961e-03 1.227218423785820644e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.844701282228866646e-02 1.844701282228911055e-02 2.900000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
3.427948707799083339e-02 8.652351676449829276e-02 6.148012554070059373e-03 5.823486074816461300e-03 9.999999999999998890e-01 -2.000000000000001332e+00 3.070232536136185963e-02 2.957699152401449538e-02 2.600000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
4.213900061128152824e-02 2.994447586440580032e-04 5.326855609740208976e-03 1.227218684799066817e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.844843813211216599e-02 1.844843813211149985e-02 2.900000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
4.340716594682203500e-02 1.666666661001731109e-01 1.144015752324860184e-02 1.444767572424580579e-02 9.999999999999998890e-01 -2.000000000000001332e+00 4.629839838336446967e-02 4.629839838336358149e-02 2.400000000000000000e+01 9.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
3.427960079447045505e-02 8.652906306986896112e-02 6.147066176937793919e-03 5.823485292447451445e-03 9.999999999999998890e-01 -2.000000000000001332e+00 3.069550392750897139e-02 2.957519476348036136e-02 2.600000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
3.427975705215435820e-02 8.652660159812387841e-02 6.147659424592626445e-03 5.823485128022512503e-03 9.999999999999998890e-01 -2.000000000000001332e+00 3.069947984324872259e-02 2.957756265622646374e-02 2.600000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
4.213843799541920621e-02 2.998179934955648614e-04 5.326136748876407478e-03 1.227218429935851649e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.844610522965495214e-02 1.844610522965584032e-02 2.900000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
3.427970031055715960e-02 8.652818869124451195e-02 6.147283056415551832e-03 5.823485131340599627e-03 9.999999999999998890e-01 -2.000000000000001332e+00 3.069694576298664934e-02 2.957609406599281954e-02 2.600000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
3.427962737391343495e-02 8.652650445260845480e-02 6.147664831197855936e-03 5.823485252693427587e-03 9.999999999999998890e-01 -2.000000000000001332e+00 3.069982643476820705e-02 2.957806648151217743e-02 2.600000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
3.427970757246256994e-02 8.652780575432764132e-02 6.147336566937113347e-03 5.823485123310425012e-03 9.999999999999998890e-01 -2.000000000000001332e+00 3.069725148441193596e-02 2.957590762569806131e-02 2.600000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
3.427971037198462856e-02 8.652723093151756806e-02 6.147438155898601181e-03 5.823485161432663017e-03 9.999999999999998890e-01 -2.000000000000001332e+00 3.069799586191024332e-02 2.957619017143753304e-02 2.600000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
4.213901069330301674e-02 2.994189330696541188e-04 5.326926443545883239e-03 1.227218521167717895e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.844861014521104181e-02 1.844861014521348430e-02 2.900000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
3.427974907672731719e-02 8.652785041287017198e-02 6.147368246902139635e-03 5.823485180562445844e-03 9.999999999999998890e-01 -2.000000000000001332e+00 3.069747162737113122e-02 2.957638007592011675e-02 2.600000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
1.657545152128915289e-01 1.572780661960476722e-01 1.101873125430226710e-02 2.031863925498814810e-02 9.999999999999998890e-01 -2.000000000000001332e+00 3.265783689806678325e-02 2.453993008985078106e-02 2.800000000000000000e+01 6.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
4.340956609633772612e-02 1.666666661045066444e-01 1.143903341559987345e-02 1.444767686427703840e-02 9.999999999999998890e-01 -2.000000000000001332e+00 4.629839838336691216e-02 4.629839838336713420e-02 2.400000000000000000e+01 9.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
4.213461629616540444e-02 3.025339455799098487e-04 5.320728034579962420e-03 1.227219329134348778e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.842907531766924123e-02 1.842907531767079554e-02 2.900000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
1.007045556844207712e-01 1.659048087997436749e-01 9.330431233119135248e-03 1.793726199045530406e-02 9.999999999999998890e-01 -2.000000000000001332e+00 4.629839838336580193e-02 4.191183979557222550e-02 2.600000000000000000e+01 1.100000000000000000e+01 8.000000000000000000e+00 7.000000000000000000e+00
