V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
4.191620397651463215e-02 1.570777393879847494e-01 9.481494338807133423e-03 1.433878445642224053e-02 9.999856401576945331e-01 -1.651695423735812129e+00 4.629839838336469171e-02 3.465152867546628102e-02 3.000000000000000000e+01 1.200000000000000000e+01 1.500000000000000000e+01 1.200000000000000000e+01
3.453569566734521201e-02 9.118648267654431983e-02 5.517228589535066487e-03 6.057674604948855637e-03 1.000231328176168555e+00 -1.955111920356632282e+00 2.658386184399352814e-02 2.519441133338262695e-02 2.600000000000000000e+01 8.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
1.909555796090776525e+00 9.998431191126552209e-01 3.807352381271242835e-03 1.595094729769811967e-02 -1.001764450781975624e+00 1.035800103139047565e-03 4.758726017825076759e-02 3.032353670096532561e-02 2.500000000000000000e+01 1.800000000000000000e+01 1.600000000000000000e+01 1.300000000000000000e+01
3.453363317164709345e-02 9.117608701785122338e-02 5.517228116766612761e-03 6.056944464553269854e-03 9.998528543653707468e-01 -1.954717316697976992e+00 2.658460629024639310e-02 2.519795031442684241e-02 2.600000000000000000e+01 8.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
1.909553157355637465e+00 9.998420786016470885e-01 3.807345490202641673e-03 1.595088136545639787e-02 -1.000263913154862738e+00 1.053857108292667670e-04 4.758720580667241684e-02 3.028110418082330391e-02 2.500000000000000000e+01 1.700000000000000000e+01 1.600000000000000000e+01 1.300000000000000000e+01
1.909553918120940885e+00 9.998425013227031366e-01 3.807345899334136415e-03 1.595096293086832248e-02 -9.996856456002909397e-01 -3.510399866096749405e-06 4.758711151689931640e-02 3.028664945414805132e-02 2.500000000000000000e+01 1.700000000000000000e+01 1.600000000000000000e+01 1.300000000000000000e+01
4.191526513603127668e-02 1.570784335028857504e-01 9.481494396435875480e-03 1.433853332928109771e-02 1.000106242664573708e+00 -1.651716083946354940e+00 4.629839838336446967e-02 3.464949761693958408e-02 3.000000000000000000e+01 1.200000000000000000e+01 1.500000000000000000e+01 1.200000000000000000e+01
3.453403194571014190e-02 9.117902692465057468e-02 5.517228324162137126e-03 6.057103394784095485e-03 9.998112197521286104e-01 -1.954659427142527939e+00 2.658426396051605245e-02 2.519818792631056681e-02 2.600000000000000000e+01 8.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
3.453479063850528608e-02 9.118180385679568178e-02 5.517228110781591255e-03 6.057365484878846594e-03 1.000052961021733910e+00 -1.954921574034046206e+00 2.658419513438969872e-02 2.519578128972699282e-02 2.600000000000000000e+01 8.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
1.909535873404383910e+00 9.998347737151440651e-01 3.807346838184452482e-03 1.595047267270961744e-02 -9.998334603193669290e-01 -2.093375399192454666e-04 4.758725185402079561e-02 3.023100751370821904e-02 2.500000000000000000e+01 1.800000000000000000e+01 1.600000000000000000e+01 1.300000000000000000e+01
9.196544726584154894e-02 1.608719023531914594e-01 6.622582096606485086e-03 1.409944018168718741e-02 1.000015917283703981e+00 -1.902171109687776918e+00 2.629686357694671628e-02 2.235025727492456760e-02 2.600000000000000000e+01 1.000000000000000000e+01 6.000000000000000000e+00 6.000000000000000000e+00
3.453378425060132928e-02 9.117707986291356814e-02 5.517228097460232482e-03 6.056971039172319438e-03 1.000008037073445655e+00 -1.954873092589099581e+00 2.658451467267175516e-02 2.519814665033637269e-02 2.600000000000000000e+01 8.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
3.453363261229691616e-02 9.117637800974028039e-02 5.517228244706760820e-03 6.056914905311502895e-03 1.000053293501574458e+00 -1.954931030269606573e+00 2.658458000438179702e-02 2.519819001704015626e-02 2.600000000000000000e+01 8.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
9.794837565502606536e-02 1.620549098094009044e-01 9.129315231972856548e-03 1.749817915922712019e-02 9.999777420623086055e-01 -1.920082308837117502e+00 4.629839838336957669e-02 4.269455786879050585e-02 2.600000000000000000e+01 1.100000000000000000e+01 8.000000000000000000e+00 7.000000000000000000e+00
1.909555700159513369e+00 9.998432288572786097e-01 3.807345452705784058e-03 1.595100167350824508e-02 -9.998645599362978587e-01 -1.357107800255544423e-04 4.758711173455587584e-02 3.029270423171270821e-02 2.500000000000000000e+01 1.700000000000000000e+01 1.600000000000000000e+01 1.300000000000000000e+01
