V_fci V_hf C_fci C_hf b c
9.196514522180460061e-02 1.608713712197239187e-01 6.622582084299735716e-03 1.409935743100832785e-02 1.000015630370748365e+00 -1.902159571471288002e+00
3.453636604923965292e-02 9.118973644092673303e-02 5.517229765968841536e-03 6.057476494110669921e-03 9.997926208393855818e-01 -1.954880740141802464e+00
4.158767942097411907e-02 1.786452497101629483e-02 1.439426424438082497e-03 2.065306077534255751e-03 1.000014441754261796e+00 -1.991614999111434692e+00
4.191556431595000465e-02 1.570781876248531495e-01 9.481494162540406515e-03 1.433877945018814659e-02 1.000015079784069449e+00 -1.651668629822037548e+00
3.453330756241812516e-02 9.117496936922200867e-02 5.517228280110786885e-03 6.056769066779349453e-03 9.998453466896386477e-01 -1.954725917671080060e+00
4.191597338764874170e-02 1.570773695244091495e-01 9.481494520855176730e-03 1.433880195488467305e-02 1.000006465006528567e+00 -1.651755119029985508e+00
1.909558609711323296e+00 9.998446673784928684e-01 3.807346338268746862e-03 1.595122927874553787e-02 -9.999899699378039797e-01 -2.935522511136872689e-05
4.191621590709382339e-02 1.570768868173396116e-01 9.481494823940200822e-03 1.433946930743216532e-02 1.000104367694110152e+00 -1.651891383756743936e+00
4.191580136472095042e-02 1.570781201145722283e-01 9.481494350444234429e-03 1.433908981796409854e-02 1.000027777236541793e+00 -1.651686702693117015e+00
3.453430992091677254e-02 9.117922669531522417e-02 5.517228077660355466e-03 6.057223253649847254e-03 1.000176733522684991e+00 -1.955031445394047163e+00
9.794837374988263345e-02 1.620533886672610169e-01 9.129315352408705342e-03 1.749789132973980990e-02 1.000042769139295018e+00 -1.920120861240210530e+00
1.644316676137956290e-01 1.629148858822581647e-01 6.194093796667619369e-03 2.161324183520554887e-02 1.000011127113013432e+00 -1.959150850488940110e+00
3.453393765742712729e-02 9.117600019723599847e-02 5.517229288245027036e-03 6.057205781373381330e-03 1.000309509754221171e+00 -1.955108379305909638e+00
1.909557804882433540e+00 9.998441524349999110e-01 3.807345865628708644e-03 1.595108182489217777e-02 -1.000093394792998858e+00 7.009616973180692533e-05
1.909553982725495480e+00 9.998424760213387996e-01 3.807345305389246183e-03 1.595093831856201488e-02 -9.999813522415468281e-01 -5.363504722373654902e-05
3.453368929493244588e-02 9.117740190775169840e-02 5.517228827541029515e-03 6.056829701577089511e-03 9.995340222425894705e-01 -1.954429826277414461e+00
9.794721852057014511e-02 1.620528958885885107e-01 9.129315013561780864e-03 1.749791654103229413e-02 9.999936560734759006e-01 -1.920053831265446931e+00
4.191607965289578797e-02 1.570775902396127077e-01 9.481494380410859096e-03 1.433865806905869518e-02 1.000065017097921505e+00 -1.651778399907980033e+00
1.909534782687017485e+00 9.998340559841322195e-01 3.807350002814248111e-03 1.595025610350057563e-02 -1.000141894709285717e+00 2.073206652641048319e-04
1.909554185518968161e+00 9.998425791802759699e-01 3.807345293550547759e-03 1.595095642949230161e-02 -9.999354363928547595e-01 -6.280354579715921950e-05
