V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
9.196514522180454509e-02 1.608713712197239465e-01 6.622582084299565713e-03 1.409935743100832611e-02 1.000015630370748365e+00 -1.902159571471288002e+00 2.629681110643544706e-02 2.235355181659182122e-02 2.600000000000000000e+01 1.000000000000000000e+01 6.000000000000000000e+00 6.000000000000000000e+00
3.453636604923709941e-02 9.118973644092673303e-02 5.517229765968858016e-03 6.057476494110669921e-03 9.997926208393855818e-01 -1.954880740141802464e+00 2.658398873074463431e-02 2.519563549526182555e-02 2.600000000000000000e+01 8.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
4.158767942096965042e-02 1.786452497101629483e-02 1.439426424438155789e-03 2.065306077534255751e-03 1.000014441754261796e+00 -1.991614999111434692e+00 6.481943055941741250e-03 6.481943055939742848e-03 2.900000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
4.191556431595144794e-02 1.570781876248531495e-01 9.481494162540349269e-03 1.433877945018814312e-02 1.000015079784069449e+00 -1.651668629822037548e+00 4.629839838337201918e-02 3.465370755622876331e-02 3.000000000000000000e+01 1.200000000000000000e+01 1.500000000000000000e+01 1.200000000000000000e+01
3.453330756241557165e-02 9.117496936922200867e-02 5.517228280110838060e-03 6.056769066779347718e-03 9.998453466896386477e-01 -1.954725917671080060e+00 2.658468604855035444e-02 2.519936590014570932e-02 2.600000000000000000e+01 8.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
4.191597338765007397e-02 1.570773695244091495e-01 9.481494520855114280e-03 1.433880195488466958e-02 1.000006465006528567e+00 -1.651755119029985508e+00 4.629839838336646807e-02 3.465152135610449768e-02 3.000000000000000000e+01 1.200000000000000000e+01 1.500000000000000000e+01 1.200000000000000000e+01
1.909558609711325516e+00 9.998446673784928684e-01 3.807346338268745994e-03 1.595122927874553093e-02 -9.999899699378039797e-01 -2.935522511136872689e-05 4.758687528567162595e-02 3.033432584890172201e-02 2.500000000000000000e+01 1.800000000000000000e+01 1.600000000000000000e+01 1.300000000000000000e+01
4.191621590709448952e-02 1.570768868173396116e-01 9.481494823940145311e-03 1.433946930743216878e-02 1.000104367694110152e+00 -1.651891383756743936e+00 4.629839838336913260e-02 3.466229295189560133e-02 3.000000000000000000e+01 1.200000000000000000e+01 1.500000000000000000e+01 1.200000000000000000e+01
4.191580136472228268e-02 1.570781201145722283e-01 9.481494350444244837e-03 1.433908981796409680e-02 1.000027777236541793e+00 -1.651686702693117015e+00 4.629839838337046487e-02 3.466011148000691655e-02 3.000000000000000000e+01 1.200000000000000000e+01 1.500000000000000000e+01 1.200000000000000000e+01
3.453430992091421903e-02 9.117922669531522417e-02 5.517228077660416181e-03 6.057223253649855060e-03 1.000176733522684991e+00 -1.955031445394047163e+00 2.658438548690922332e-02 2.519623552130445532e-02 2.600000000000000000e+01 8.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00
