V_fci V_hf C_fci C_hf b c
4.191620397651230068e-02 1.570777393879847494e-01 9.481494338807046687e-03 1.433878445642224227e-02 9.999856401576945331e-01 -1.651695423735812129e+00
3.453569566734882024e-02 9.118648267654431983e-02 5.517228589535118528e-03 6.057674604948853035e-03 1.000231328176168555e+00 -1.955111920356632282e+00
1.909555796090774971e+00 9.998431191126552209e-01 3.807352381271223319e-03 1.595094729769812314e-02 -1.001764450781975624e+00 1.035800103139047565e-03
3.453363317165081270e-02 9.117608701785122338e-02 5.517228116766654394e-03 6.056944464553264650e-03 9.998528543653707468e-01 -1.954717316697976992e+00
1.909553157355636133e+00 9.998420786016470885e-01 3.807345490202663357e-03 1.595088136545639787e-02 -1.000263913154862738e+00 1.053857108292667670e-04
1.909553918120939331e+00 9.998425013227031366e-01 3.807345899334100420e-03 1.595096293086832595e-02 -9.996856456002909397e-01 -3.510399866096749405e-06
4.191526513602894521e-02 1.570784335028857504e-01 9.481494396435804356e-03 1.433853332928109250e-02 1.000106242664573708e+00 -1.651716083946354940e+00
3.453403194571375012e-02 9.117902692465057468e-02 5.517228324162183964e-03 6.057103394784097219e-03 9.998112197521286104e-01 -1.954659427142527939e+00
3.453479063850906083e-02 9.118180385679568178e-02 5.517228110781641562e-03 6.057365484878844859e-03 1.000052961021733910e+00 -1.954921574034046206e+00
1.909535873404382134e+00 9.998347737151440651e-01 3.807346838184420823e-03 1.595047267270961397e-02 -9.998334603193669290e-01 -2.093375399192454666e-04
9.196544726584154894e-02 1.608719023531914594e-01 6.622582096606255235e-03 1.409944018168718741e-02 1.000015917283703981e+00 -1.902171109687776918e+00
3.453378425060499302e-02 9.117707986291356814e-02 5.517228097460287993e-03 6.056971039172319438e-03 1.000008037073445655e+00 -1.954873092589099581e+00
3.453363261230057990e-02 9.117637800974028039e-02 5.517228244706816331e-03 6.056914905311501160e-03 1.000053293501574458e+00 -1.954931030269606573e+00
9.794837565502628740e-02 1.620549098094009044e-01 9.129315231972858283e-03 1.749817915922712019e-02 9.999777420623086055e-01 -1.920082308837117502e+00
1.909555700159511593e+00 9.998432288572786097e-01 3.807345452705754134e-03 1.595100167350826242e-02 -9.998645599362978587e-01 -1.357107800255544423e-04
1.644307419004653603e-01 1.629138119607120572e-01 6.194094305521239199e-03 2.161291400281716013e-02 1.000058923658154297e+00 -1.959179781568527012e+00
9.196579463948428845e-02 1.608722913330479787e-01 6.622582197861270892e-03 1.409929130276318596e-02 9.999270646247854222e-01 -1.902102275349853766e+00
1.909553189345961188e+00 9.998422088951387510e-01 3.807345396601696970e-03 1.595096679159404077e-02 -9.999694038430382292e-01 7.271588705050685748e-05
1.909550362161474668e+00 9.998409992578145555e-01 3.807345619565196196e-03 1.595088660516280274e-02 -1.000045242093135167e+00 -5.496074439764158645e-05
9.794684717127533080e-02 1.620523126624695553e-01 9.129315093461026070e-03 1.749779671162840153e-02 1.000002250953833993e+00 -1.920047310209234137e+00
