V_fci V_hf C_fci C_hf b c
2.909953798152731252e-02 2.484292353499774064e-01 9.547315658134717525e-03 7.644502536875506793e-03 1.000160812175348912e+00 -1.004710708211756121e+00
3.388421848283773574e-02 8.529115988133369186e-02 6.082882000869705742e-03 5.776970936271205725e-03 9.998554375671537819e-01 -1.954620644859738743e+00
4.206815335558145713e-02 3.003619588943574913e-04 5.315113503466017790e-03 1.226054429303689245e-03 9.997802546235559085e-01 -1.994606408127243435e+00
3.388428937822135500e-02 8.528892277183869330e-02 6.083112525502868545e-03 5.776971337954118352e-03 9.999147511913574204e-01 -1.954652948168992044e+00
2.909817503259204408e-02 2.484059899421652284e-01 9.546904136133533419e-03 7.644502348689090690e-03 9.998602489275252303e-01 -1.004630211868329903e+00
2.910052551009467692e-02 2.484447722538387637e-01 9.547450264022483424e-03 7.644502756649132306e-03 1.000085220463063251e+00 -1.004625780362784493e+00
4.207398246798977476e-02 2.961311409294947869e-04 5.323512961433117877e-03 1.226055522124917720e-03 1.000068394400705385e+00 -1.994878258853040709e+00
9.432441790425460937e-02 1.558202015608663449e-01 1.161003512281536670e-02 1.657241290752884191e-02 1.000021645545671189e+00 -1.629316674692188105e+00
3.388439306603346912e-02 8.529148487619270247e-02 6.083061484568203989e-03 5.776971052435676129e-03 1.000007099102727670e+00 -1.954804902548616274e+00
2.909489133267850747e-02 2.483528865498907390e-01 9.546035514348089751e-03 7.644502528920561930e-03 1.000115106287267075e+00 -1.004919318526483751e+00
8.796551258180873578e-02 1.540116277599610228e-01 8.769566388264198042e-03 1.299516441733811895e-02 9.998378352600866270e-01 -1.590072979506874651e+00
3.388402045115418426e-02 8.529515186447364505e-02 6.082089483934740096e-03 5.776971097370786450e-03 9.997750362040059846e-01 -1.954575191193772765e+00
3.388432881593322898e-02 8.529322027752525570e-02 6.082784253502542676e-03 5.776971281721022047e-03 1.000038106203004373e+00 -1.954859213604196677e+00
4.206789120813988342e-02 2.997618277301254404e-04 5.316122998720386288e-03 1.226055089549743906e-03 1.000194988260892037e+00 -1.994929908959629072e+00
3.388418373144003182e-02 8.529268094743466810e-02 6.082577538388646635e-03 5.776970974075821934e-03 1.000120776874511064e+00 -1.954889860051438610e+00
1.564458368331537175e-01 1.482183035508438662e-01 1.177311556575682747e-02 1.931717994852375289e-02 1.000051882255021951e+00 -1.744450504769738064e+00
2.909602804073663229e-02 2.483736369804281363e-01 9.546192966439652483e-03 7.644503117831732628e-03 1.000023660739390197e+00 -1.004810780604257658e+00
8.796545797512989040e-02 1.540107773437598970e-01 8.770443655557375040e-03 1.299516421890739570e-02 9.999750355336494145e-01 -1.590140348718757091e+00
2.892828515589718208e-02 2.474651201252507926e-01 9.520616988774533579e-03 7.675947271959229247e-03 9.997573251715289322e-01 -1.007550531931291182e+00
2.909797784273560062e-02 2.484042416771594652e-01 9.547107290022007267e-03 7.644502569932241226e-03 1.000032338124140052e+00 -1.004721660383292914e+00
