V_fci V_hf C_fci C_hf b c E_dec E_bo K_en K_overlap
3.427971237815347072e-02 8.652745139098121097e-02 6.147442048491104719e-03 5.823485114645395380e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.860997296065744155e+00 -1.862118719641764564e+00 2.600000000000000000e+01 6.000000000000000000e+00
4.213770477341836906e-02 3.003429546250181324e-04 5.325081907708186131e-03 1.227218566798422839e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.873252515583555766e+00 -1.873252515583555544e+00 2.900000000000000000e+01 5.000000000000000000e+00
4.213878528104263860e-02 2.995660545921039744e-04 5.326649704795603964e-03 1.227218562582249204e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.873247614552142837e+00 -1.873247614552143059e+00 2.900000000000000000e+01 5.000000000000000000e+00
4.213866660211187248e-02 2.996707182575586632e-04 5.326410855902930300e-03 1.227218423785820644e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.873248302486890671e+00 -1.873248302486890227e+00 2.900000000000000000e+01 5.000000000000000000e+00
3.427948707798766925e-02 8.652351676449826501e-02 6.148012554070055903e-03 5.823486074816457830e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.860992989947815701e+00 -1.862118323785163065e+00 2.600000000000000000e+01 6.000000000000000000e+00
4.213900061127537344e-02 2.994447586440580032e-04 5.326855609740300916e-03 1.227218684799066817e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.873246877177081160e+00 -1.873246877177081826e+00 2.900000000000000000e+01 5.000000000000000000e+00
4.340716594682514362e-02 1.666666661001731109e-01 1.144015752324848215e-02 1.444767572424581099e-02 9.999999999999998890e-01 -2.000000000000001332e+00 -1.845396916925810649e+00 -1.845396916925811537e+00 2.400000000000000000e+01 9.000000000000000000e+00
3.427960079446745745e-02 8.652906306986896112e-02 6.147066176937818205e-03 5.823485292447451445e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.860999811381667257e+00 -1.862120120545695867e+00 2.600000000000000000e+01 6.000000000000000000e+00
3.427975705215119406e-02 8.652660159812389229e-02 6.147659424592604761e-03 5.823485128022513370e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.860995835465934389e+00 -1.862117752652956648e+00 2.600000000000000000e+01 6.000000000000000000e+00
4.213843799541305835e-02 2.998179934955648072e-04 5.326136748876508960e-03 1.227218429935851649e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.873249210079521276e+00 -1.873249210079520388e+00 2.900000000000000000e+01 5.000000000000000000e+00
3.427970031055410649e-02 8.652818869124451195e-02 6.147283056415552699e-03 5.823485131340599627e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.860998369546187803e+00 -1.862119221243181633e+00 2.600000000000000000e+01 6.000000000000000000e+00
3.427962737391021530e-02 8.652650445260845480e-02 6.147664831197855069e-03 5.823485252693428454e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.860995488874410686e+00 -1.862117248827666716e+00 2.600000000000000000e+01 6.000000000000000000e+00
3.427970757245946132e-02 8.652780575432764132e-02 6.147336566937109878e-03 5.823485123310427614e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.860998063824764737e+00 -1.862119407683478611e+00 2.600000000000000000e+01 6.000000000000000000e+00
3.427971037198151993e-02 8.652723093151756806e-02 6.147438155898604650e-03 5.823485161432657813e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.860997319447313059e+00 -1.862119125137785769e+00 2.600000000000000000e+01 6.000000000000000000e+00
4.213901069329684806e-02 2.994189330696541730e-04 5.326926443545986455e-03 1.227218521167717895e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.873246705163960968e+00 -1.873246705163958525e+00 2.900000000000000000e+01 5.000000000000000000e+00
3.427974907672404203e-02 8.652785041287017198e-02 6.147368246902130962e-03 5.823485180562446711e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.860997843681805097e+00 -1.862118935233256112e+00 2.600000000000000000e+01 6.000000000000000000e+00
1.657545152128925281e-01 1.572780661960476722e-01 1.101873125430211098e-02 2.031863925498814810e-02 9.999999999999998890e-01 -2.000000000000001332e+00 -1.859037478411146527e+00 -1.867155385219362529e+00 2.800000000000000000e+01 6.000000000000000000e+00
4.340956609634050167e-02 1.666666661045066444e-01 1.143903341559975549e-02 1.444767686427704534e-02 9.999999999999998890e-01 -2.000000000000001332e+00 -1.845396916925858166e+00 -1.845396916925857944e+00 2.400000000000000000e+01 9.000000000000000000e+00
4.213461629615924270e-02 3.025339455799098487e-04 5.320728034580050024e-03 1.227219329134348778e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.873266239991500104e+00 -1.873266239991498550e+00 2.900000000000000000e+01 5.000000000000000000e+00
1.007045556844207157e-01 1.659048087997436749e-01 9.330431233119126574e-03 1.793726199045531447e-02 9.999999999999998890e-01 -2.000000000000001332e+00 -1.845396916925808428e+00 -1.849783475513602005e+00 2.600000000000000000e+01 1.100000000000000000e+01
