V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
8.333808249872615148e-02 1.666648957681969578e-01 3.808407217458104280e-06 9.663434358166504961e-04 9.999976842481296258e-01 -1.999966915173534865e+00 1.405541206933591525e-05 1.131339641569084620e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084052065411878818e-02 8.347548098302859376e-02 3.357420911343756860e-06 1.636344628182935491e-04 1.000049527266467564e+00 -2.000017994360638429e+00 1.354518782781255481e-05 1.212258574212476958e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.166729845785077657e-02 2.851852207110604047e-04 8.376744156766400778e-07 3.215578303148699038e-04 9.999514473238602097e-01 -1.999953749702155559e+00 4.003547426467690684e-06 4.003547426911779894e-06 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.619815163245833745e-03 1.717272245485862991e-01 5.154504522010950910e-06 4.587714190381350482e-06 8.612355551459044412e-01 -1.300838539096845770e+00 2.257262526184078411e-05 2.257262526206282871e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084067038250636550e-02 8.347595496694648620e-02 3.357153545525861093e-06 1.636373358720541872e-04 1.000060597826459619e+00 -2.000050704642876376e+00 1.354400194131244461e-05 1.216884584676058978e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084143636927748844e-02 1.666306383253330914e-01 5.776795406672795693e-06 5.262208014585655156e-04 1.000075814837916521e+00 -1.999426816397926743e+00 2.257262526472736397e-05 2.096795206552037882e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084226229697405675e-02 1.666372428770609981e-01 5.776501837578203619e-06 5.262275845236829164e-04 9.999934651594077906e-01 -1.999463534261329167e+00 2.257262526250691792e-05 2.095721023587238108e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084339102542864808e-02 1.666462500667827973e-01 5.776642193349040200e-06 5.262633916327233343e-04 9.999228734401668373e-01 -1.999555234905201262e+00 2.257262526517145318e-05 2.094712207290072570e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084436578134396534e-02 1.666540433597181459e-01 5.777143452713195597e-06 5.262900961320991387e-04 9.999617817243101614e-01 -1.999734508746141115e+00 2.257262526228487332e-05 2.094878569680602709e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.166685395595003116e-02 2.854519020430874572e-04 8.376815185345696084e-07 3.215568419213297134e-04 9.999263680331970106e-01 -1.999896645490547131e+00 4.003540949426565021e-06 4.003540947650208182e-06 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
