V_fci V_hf C_fci C_hf b c
8.333893721759177975e-02 1.666666051389309178e-01 3.808432083572537788e-06 9.663539488366620000e-04 9.999999999999998890e-01 -2.000000000000001332e+00
8.334194004995831850e-02 1.666666055556064174e-01 5.050559307355674492e-06 9.671009718101125597e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084594369959025251e-02 1.666666666666667129e-01 5.776666500703801503e-06 5.263354084916974530e-04 9.999999999999998890e-01 -2.000000000000001332e+00
8.334194023717689248e-02 1.666666052787100782e-01 5.050452741462102802e-06 9.671002799866016460e-04 9.999999999999998890e-01 -2.000000000000001332e+00
8.334194020530233393e-02 1.666666053119822133e-01 5.050438811442204807e-06 9.671003443473601222e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084594326472899439e-02 1.666666666666666852e-01 5.776939049622209436e-06 5.263124699780227789e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084594374119397298e-02 1.666666666666667407e-01 5.776820328805679476e-06 5.263393690219790068e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084073906453720593e-02 8.347622436251048161e-02 3.357281304302707522e-06 1.636361204741209848e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084073872808395178e-02 8.347613790724880967e-02 3.357171900175078264e-06 1.636366838781005148e-04 9.999999999999998890e-01 -2.000000000000001332e+00
8.333893737463948792e-02 1.666666050488147810e-01 3.808649499594163897e-06 9.663536290639791661e-04 9.999999999999998890e-01 -2.000000000000001332e+00
8.334194038112530123e-02 1.666666052191192460e-01 5.050520599062744011e-06 9.671002206938550437e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084073888317228285e-02 8.347613646501030049e-02 3.357372602562778605e-06 1.636404155421017034e-04 9.999999999999998890e-01 -2.000000000000001332e+00
8.333893729781755022e-02 1.666666053761609589e-01 3.808526896039609154e-06 9.663551496657282833e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084073861802776539e-02 8.347610466610370927e-02 3.357132794033240712e-06 1.636366488193302833e-04 9.999999999999998890e-01 -2.000000000000001332e+00
1.421113100807946950e-05 1.666666666666667407e-01 5.876793892390838446e-06 5.710655615870277913e-06 9.999999999999998890e-01 -2.000000000000001332e+00
2.084073858150586878e-02 8.347605489932727330e-02 3.357128091128841708e-06 1.636356441112694221e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084594398920491809e-02 1.666666666666667129e-01 5.776830634773581067e-06 5.263495827152197843e-04 9.999999999999998890e-01 -2.000000000000001332e+00
1.666666666594657231e-01 1.666665437996829036e-01 2.982217015992185175e-06 1.927744321368117563e-03 9.999999999999998890e-01 -2.000000000000001332e+00
2.084594388175897706e-02 1.666666666666667684e-01 5.776760601438789348e-06 5.263333303786007014e-04 9.999999999999998890e-01 -2.000000000000001332e+00
8.334194064266969848e-02 1.666666049606819189e-01 5.050698035951615630e-06 9.670996895660348251e-04 9.999999999999998890e-01 -2.000000000000001332e+00
