V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
8.210986619884397264e-02 1.642083040248465964e-01 4.260058946460855921e-05 9.583774751253065598e-04 1.000152651836544671e+00 -1.953445393059622504e+00 1.419668850943800464e-05 1.188906772231490550e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.211229270842151928e-02 1.642131442355776738e-01 4.244280891411891365e-05 9.583773245793153050e-04 9.999537560073128439e-01 -1.953348730733527550e+00 1.420851586364513253e-05 1.192281220885327286e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.998180589427733356e+00 9.992511867066380393e-01 1.615018689771215373e-06 9.436116313577961443e-06 -1.039742968653485589e+00 3.253253648391388198e-02 2.364505304530695184e-05 1.407373560247116018e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.070358244339709497e-02 1.655489980011058959e-01 7.260682144532908474e-06 5.238770110854761367e-04 1.000076356494823848e+00 -1.979490648760679594e+00 2.257262526206282871e-05 2.257262526139669490e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.322337075091140957e-02 1.738071725046789473e-01 5.736616122871017626e-06 5.651069623642895903e-06 1.452910758567858451e+00 -2.393105963503427525e+00 2.366543067489068619e-05 2.010619721315443087e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.070388589487603959e-02 1.655514119828887798e-01 7.261549451916560565e-06 5.238769782807197210e-04 9.999951648431079088e-01 -1.979455832574104734e+00 2.257262526095260569e-05 2.257262526050851648e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.070401651538811283e-02 1.655523059479878656e-01 7.251245778527211903e-06 5.238767455780314391e-04 9.999770682876039096e-01 -1.979454781589637724e+00 2.257262526117465029e-05 2.257262526050851648e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.139599603505939029e-02 1.655606261297737913e-01 8.607306716200181795e-06 1.042097439380842983e-03 1.000028078922976960e+00 -1.979662160481723276e+00 2.257262525784398122e-05 2.257262525762193661e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.070445708377699479e-02 1.655557695803953067e-01 7.229915922498471228e-06 5.238800244904689030e-04 9.996992813108416254e-01 -1.979245034945496196e+00 2.257262525828807043e-05 2.257262525873215964e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.997303371665724470e+00 9.989540382733290702e-01 1.699660151171873552e-06 9.441253630846156545e-06 -9.657322412461794015e-01 -4.440148759789686733e-02 2.365836884665739603e-05 1.397320669793700176e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
