V_fci V_hf C_fci C_hf b c
8.333893993280311330e-02 1.666666020211032273e-01 3.821122214708713358e-06 9.663462168138549357e-04 9.999999999999998890e-01 -2.000000000000001332e+00
1.421447619975868548e-05 1.666666666666666297e-01 5.879221789976757443e-06 5.706322889676670293e-06 9.999999999999998890e-01 -2.000000000000001332e+00
2.084124479498539184e-02 8.345186075058946829e-02 3.768518141120066131e-06 1.634882923363821701e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084539408830354823e-02 1.666666666666668239e-01 6.099606515396431782e-06 5.258588816998792641e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084125866605118782e-02 8.345162506411470116e-02 3.779421263472551978e-06 1.634884105955573006e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084542846191228538e-02 1.666666666666667962e-01 6.078118937547607504e-06 5.258584675485833242e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084542055008320460e-02 1.666666666666666852e-01 6.083866484222178721e-06 5.258586652508989972e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084124400674119970e-02 8.345187961761832418e-02 3.767890092809687280e-06 1.634882888008464008e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084124467110975987e-02 8.345185414326507234e-02 3.768425121405727259e-06 1.634882903554671721e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084124290393934986e-02 8.345186152162725746e-02 3.766965118854240761e-06 1.634883359338965491e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084126304275790709e-02 8.345145816354820889e-02 3.781842391651212568e-06 1.634888169105511580e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084121873380045953e-02 8.345247032366027995e-02 3.747765224695321711e-06 1.634884045495849569e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084124660562752807e-02 8.345176217481740932e-02 3.770010294060040424e-06 1.634884512107605584e-04 9.999999999999998890e-01 -2.000000000000001332e+00
2.084125442079154400e-02 8.345172410688571352e-02 3.775874066463631399e-06 1.634885062962059053e-04 9.999999999999998890e-01 -2.000000000000001332e+00
5.775180168243743140e-05 1.666666666664734509e-01 2.745704446479066652e-05 3.629593936670616960e-05 9.999999999999998890e-01 -2.000000000000001332e+00
2.084125626208660487e-02 8.345164575003745366e-02 3.777480905502555575e-06 1.634887052081595725e-04 9.999999999999998890e-01 -2.000000000000001332e+00
1.666666666589852186e-01 1.666665336769530825e-01 3.041770841652129646e-06 1.927720330277343189e-03 9.999999999999998890e-01 -2.000000000000001332e+00
1.666666666589824430e-01 1.666665338589112255e-01 3.037211011615544492e-06 1.927719484410698450e-03 9.999999999999998890e-01 -2.000000000000001332e+00
4.199591804586811500e-02 2.358721131789260912e-04 2.966405082994735083e-04 3.155793763299496470e-04 9.999999999999998890e-01 -2.000000000000001332e+00
8.334194208760081768e-02 1.666666038712855402e-01 5.053315513186483003e-06 9.670988542007708834e-04 9.999999999999998890e-01 -2.000000000000001332e+00
