V_fci V_hf C_fci C_hf b c
8.210986619884586002e-02 1.642083040248465964e-01 4.260058947123441007e-05 9.583774751253031987e-04 1.000152651836544671e+00 -1.953445393059622504e+00
8.211229270841924333e-02 1.642131442355776738e-01 4.244280892071606703e-05 9.583773245793148713e-04 9.999537560073128439e-01 -1.953348730733527550e+00
1.998180589427733800e+00 9.992511867066380393e-01 1.615018689728612580e-06 9.436116313577961443e-06 -1.039742968653485589e+00 3.253253648391388198e-02
2.070358244424297389e-02 1.655489980011058959e-01 7.260682143612457252e-06 5.238770110854762451e-04 1.000076356494823848e+00 -1.979490648760679594e+00
2.322337075091140957e-02 1.738071725046789751e-01 5.736616122869457391e-06 5.651069623642934866e-06 1.452910758567858451e+00 -2.393105963503427525e+00
2.070388589572247362e-02 1.655514119828887798e-01 7.261549450996888614e-06 5.238769782807214557e-04 9.999951648431079088e-01 -1.979455832574104734e+00
2.070401651623443584e-02 1.655523059479878656e-01 7.251245777614084975e-06 5.238767455780313307e-04 9.999770682876039096e-01 -1.979454781589637724e+00
4.139599603675270245e-02 1.655606261297737636e-01 8.607306714395901668e-06 1.042097439380841898e-03 1.000028078922976960e+00 -1.979662160481723276e+00
2.070445708462453904e-02 1.655557695803953067e-01 7.229915921592294205e-06 5.238800244904689030e-04 9.996992813108416254e-01 -1.979245034945496196e+00
1.997303371665725358e+00 9.989540382733290702e-01 1.699660151180072408e-06 9.441253630846214144e-06 -9.657322412461794015e-01 -4.440148759789686733e-02
5.017226178818268156e-01 4.058630634166010553e-01 5.652131040639579758e-06 7.418736185523086979e-06 -8.459056079804788686e-02 -1.156481490036304960e+00
8.210969581628346781e-02 1.642079318942031851e-01 4.262519071386197911e-05 9.583773777034793355e-04 1.000026350941789266e+00 -1.953314556345662423e+00
2.083644876490270414e-02 8.342806546497794074e-02 3.806157661446223438e-06 1.634671053103850448e-04 9.963055797881433806e-01 -1.995435813569135020e+00
2.070411803039773346e-02 1.655530081923389518e-01 7.243443148466291849e-06 5.238768904885999014e-04 1.000080890567622172e+00 -1.979570775226580981e+00
9.405043518783310352e-01 5.564462386473580935e-01 3.789145487181675233e-06 7.377617907668042333e-06 -2.276370234364003264e-01 -7.420175253498844103e-01
2.083560850784499374e-02 8.342925443313985168e-02 3.781523122612229424e-06 1.634667146022854094e-04 9.992397141795718030e-01 -1.998415379213865917e+00
4.139633498492301111e-02 1.655620019303617185e-01 8.609953351628706414e-06 1.042097657542727157e-03 1.000036841015618627e+00 -1.979696770262537209e+00
3.885113842823839647e-02 1.937454411317710568e-01 5.122858251268830440e-06 4.566205767782509221e-06 1.477428653691320593e+00 -1.638871670562413119e+00
9.239886206264036339e-03 1.610333850187609661e-01 5.396072062168183871e-06 5.177123960284917787e-06 8.058385820040776526e-01 -1.560861695384381687e+00
3.783170403952819116e-01 3.426582639347369730e-01 5.622501309644316302e-06 6.936308280525364084e-06 3.716881222507652238e-02 -1.203782076116060251e+00
