V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
8.333893993280305779e-02 1.666666020211032273e-01 3.821122214960976710e-06 9.663462168138549357e-04 9.999999999999998890e-01 -2.000000000000001332e+00 1.410058674466974082e-05 1.185061938824283345e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.421447619975868548e-05 1.666666666666666297e-01 5.879221789978413393e-06 5.706322889676761773e-06 9.999999999999998890e-01 -2.000000000000001332e+00 2.257262525917624885e-05 2.257262526006442727e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084124479523585816e-02 8.345186075058946829e-02 3.768518141105469212e-06 1.634882923363821701e-04 9.999999999999998890e-01 -2.000000000000001332e+00 1.603396320382088902e-05 1.490275753157632721e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084539408805330396e-02 1.666666666666668239e-01 6.099606515543138735e-06 5.258588816998792641e-04 9.999999999999998890e-01 -2.000000000000001332e+00 2.257262526494940857e-05 2.257262526472736397e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084125866630170965e-02 8.345162506411470116e-02 3.779421263459079919e-06 1.634884105955575445e-04 9.999999999999998890e-01 -2.000000000000001332e+00 1.609807974367605254e-05 1.492681491632730229e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084542846166226315e-02 1.666666666666667962e-01 6.078118937679928450e-06 5.258584675485833242e-04 9.999999999999998890e-01 -2.000000000000001332e+00 2.257262526184078411e-05 2.257262526272896253e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084542054983351544e-02 1.666666666666666852e-01 6.083866484358445146e-06 5.258586652508993224e-04 9.999999999999998890e-01 -2.000000000000001332e+00 2.257262525939829345e-05 2.257262526028647187e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084124400699177704e-02 8.345187961761832418e-02 3.767890092794905708e-06 1.634882888008463465e-04 9.999999999999998890e-01 -2.000000000000001332e+00 1.602998944982836349e-05 1.489929589992833314e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084124467136011516e-02 8.345185414326508622e-02 3.768425121391170151e-06 1.634882903554671992e-04 9.999999999999998890e-01 -2.000000000000001332e+00 1.603343223721687139e-05 1.490638488266249340e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084124290418970515e-02 8.345186152162725746e-02 3.766965118839716687e-06 1.634883359338965762e-04 9.999999999999998890e-01 -2.000000000000001332e+00 1.602483119023112579e-05 1.491622732774366966e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
