V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
8.333893721759122464e-02 1.666666051389309178e-01 3.808432083620560321e-06 9.663539488366620000e-04 9.999999999999998890e-01 -2.000000000000001332e+00 1.405542428023487389e-05 1.130757059075726545e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.334194004995842953e-02 1.666666055556064174e-01 5.050559307357592174e-06 9.671009718101122345e-04 9.999999999999998890e-01 -2.000000000000001332e+00 2.257262525962033806e-05 2.133820367999916812e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084594368644143714e-02 1.666666666666667129e-01 5.776666500688198309e-06 5.263354084916976698e-04 9.999999999999998890e-01 -2.000000000000001332e+00 2.257262526583758699e-05 2.097933271816287970e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.334194023717678146e-02 1.666666052787101060e-01 5.050452741465119087e-06 9.671002799866027302e-04 9.999999999999998890e-01 -2.000000000000001332e+00 2.257262526228487332e-05 2.132672725241313572e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.334194020530255598e-02 1.666666053119822133e-01 5.050438811444233451e-06 9.671003443473603391e-04 9.999999999999998890e-01 -2.000000000000001332e+00 2.257262526139669490e-05 2.133042940899443352e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084594325158051209e-02 1.666666666666666852e-01 5.776939049606141221e-06 5.263124699780221284e-04 9.999999999999998890e-01 -2.000000000000001332e+00 2.257262526317305174e-05 2.097460435801501433e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084594372804482454e-02 1.666666666666667407e-01 5.776820328790400696e-06 5.263393690219798741e-04 9.999999999999998890e-01 -2.000000000000001332e+00 2.257262526028647187e-05 2.098070753908665154e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084073907768702050e-02 8.347622436251048161e-02 3.357281304294596758e-06 1.636361204741209848e-04 9.999999999999998890e-01 -2.000000000000001332e+00 1.354431242872600194e-05 1.214907576430057645e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084073874123387737e-02 8.347613790724880967e-02 3.357171900166832398e-06 1.636366838781005148e-04 9.999999999999998890e-01 -2.000000000000001332e+00 1.354402892617123655e-05 1.217384915253028055e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.333893737463904383e-02 1.666666050488147810e-01 3.808649499641824324e-06 9.663536290639763472e-04 9.999999999999998890e-01 -2.000000000000001332e+00 1.405631393125439388e-05 1.132349230403839613e-05 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
